solver,config,frame,t,runout,max_h,ke
mpm,mpm-B2-pic-pic,19,0.333333,0.134472,0.016131,0.016303
mpm,mpm-B2-pic-pic,20,0.350000,0.134472,0.013081,0.015842
mpm,mpm-B2-pic-pic,21,0.366667,0.134472,0.010075,0.006110
mpm,mpm-B2-pic-pic,22,0.383333,0.134472,0.007117,0.007763
mpm,mpm-B2-pic-pic,23,0.400000,0.134472,0.004172,0.001325
mpm,mpm-B2-pic-pic,24,0.416667,0.134472,0.002675,0.002891
mpm,mpm-B2-pic-pic,25,0.433333,0.134472,0.002675,0.000004
mpm,mpm-B2-pic-pic,26,0.450000,0.134472,0.002675,0.000679
mpm,mpm-B2-pic-pic,27,0.466667,0.134472,0.002675,0.000000
mpm,mpm-B2-pic-pic,28,0.483333,0.134472,0.002675,0.000004
mpm,mpm-B2-pic-pic,29,0.500000,0.134472,0.002675,0.000008
mpm,mpm-B2-pic-pic,30,0.516667,0.134472,0.002675,0.000000
mpm,mpm-B2-pic-apic,0,0.016667,0.099814,0.194776,0.205885
mpm,mpm-B2-pic-apic,1,0.033333,0.100015,0.189340,0.785253
mpm,mpm-B2-pic-apic,2,0.050000,0.100681,0.181244,1.644127
mpm,mpm-B2-pic-apic,3,0.066667,0.101917,0.170575,2.613491
mpm,mpm-B2-pic-apic,4,0.083333,0.104133,0.157554,3.514806
mpm,mpm-B2-pic-apic,5,0.100000,0.107522,0.142540,4.235977
mpm,mpm-B2-pic-apic,6,0.116667,0.112006,0.126088,4.686176
mpm,mpm-B2-pic-apic,7,0.133333,0.117468,0.109025,4.745615
mpm,mpm-B2-pic-apic,8,0.150000,0.123640,0.092494,4.340399
mpm,mpm-B2-pic-apic,9,0.166667,0.128909,0.077549,3.450568
mpm,mpm-B2-pic-apic,10,0.183333,0.132356,0.065046,2.357141
mpm,mpm-B2-pic-apic,11,0.200000,0.135049,0.054799,1.399403
mpm,mpm-B2-pic-apic,12,0.216667,0.136458,0.046102,0.715404
mpm,mpm-B2-pic-apic,13,0.233333,0.136458,0.039113,0.368264
mpm,mpm-B2-pic-apic,14,0.250000,0.136458,0.033341,0.183083
mpm,mpm-B2-pic-apic,15,0.266667,0.136458,0.028547,0.099904
mpm,mpm-B2-pic-apic,16,0.283333,0.136458,0.024637,0.054427
mpm,mpm-B2-pic-apic,17,0.300000,0.136458,0.021142,0.036802
mpm,mpm-B2-pic-apic,18,0.316667,0.136458,0.017817,0.022255
mpm,mpm-B2-pic-apic,19,0.333333,0.136458,0.014693,0.016488
mpm,mpm-B2-pic-apic,20,0.350000,0.136458,0.011622,0.009023
mpm,mpm-B2-pic-apic,21,0.366667,0.136458,0.008634,0.007062
mpm,mpm-B2-pic-apic,22,0.383333,0.136458,0.005607,0.002609
mpm,mpm-B2-pic-apic,23,0.400000,0.136458,0.002722,0.002408
mpm,mpm-B2-pic-apic,24,0.416667,0.136458,0.002681,0.000444
mpm,mpm-B2-pic-apic,25,0.433333,0.136458,0.002681,0.000639
mpm,mpm-B2-pic-apic,26,0.450000,0.136458,0.002681,0.000030
mpm,mpm-B2-pic-apic,27,0.466667,0.136458,0.002681,0.000293
mpm,mpm-B2-pic-apic,28,0.483333,0.136458,0.002681,0.000000
mpm,mpm-B2-pic-apic,29,0.500000,0.136458,0.002681,0.000033
mpm,mpm-B2-pic-apic,30,0.516667,0.136458,0.002681,0.000000
mpm,mpm-B2-gimp-pic,0,0.016667,0.099814,0.194776,0.205885
mpm,mpm-B2-gimp-pic,1,0.033333,0.100009,0.189340,0.785247
mpm,mpm-B2-gimp-pic,2,0.050000,0.100649,0.181244,1.643764
mpm,mpm-B2-gimp-pic,3,0.066667,0.101844,0.170575,2.610454
mpm,mpm-B2-gimp-pic,4,0.083333,0.103982,0.157554,3.502177
mpm,mpm-B2-gimp-pic,5,0.100000,0.107094,0.142546,4.199739
mpm,mpm-B2-gimp-pic,6,0.116667,0.111123,0.126109,4.599792
mpm,mpm-B2-gimp-pic,7,0.133333,0.115923,0.109075,4.571241
mpm,mpm-B2-gimp-pic,8,0.150000,0.121225,0.092596,4.073524
mpm,mpm-B2-gimp-pic,9,0.166667,0.126584,0.077820,3.215138
